2017-05-26,Meet Bear Grylls’ adventure cameraman protégé,New York Post,"['In the six-episode season, he goes in search of a shape-shifting creature linked to witchcraft in Namibia, a dragon-like reptile in Borneo and a massive lizard that resembles an extinct dinosaur in Liberia; as well as travels to India, Peru and Argentina. “', 'But it was the premiere episode of “Expedition Mungo” in Liberia, a west African country ravaged by civil war and Ebola, that turned out to be his toughest assignment yet — and not only because it took a plane, 4×4, motorbike, canoe and hiking to get to their remote destination. “']",0.75,0.25,liberia
2017-05-26,Denis Johnson had ruthless honesty and transcendent power - LA Times,Los Angeles Times,"['Over nearly half a century — his debut, the poetry chapbook “The Man Among the Seals,” was published in 1969 when he was 19 — he wrote plays and verse, stories, novels and essays he reported, for venues such as Harper’s and Esquire, from Liberia and Kabul.']",0.5,0.0,liberia
2017-06-03,This Play Was Inspired By A Real Refugee's Shakespearean Dilemma,NPR,"[""It's about a young man who escapes war-torn Liberia only to confront new dangers and an identity crisis in Australia, the country where he found shelter.,"", 'At that lunch, Yarkpai told Smith about his escape from Liberia and the crushing questions he still faced. ""', ""And you don't have to be a Danish prince or a Liberian refugee for that difficulty to hit home.]""]",0.3333333333333333,0.6236095644623235,liberia
2017-06-05,Netanyahu Meets African Leaders to Expand Israel Ties,Breitbart,"['The Times of Israel reports: Prime Minister Benjamin Netanyahu met Sunday with West African leaders in Liberia for discussions on boosting ties.[After being greeted by Liberian President Ellen Johnson-Sirleaf upon arriving in the capital Monrovia, Netanyahu met with Marcel Alain de Souza, the president of the Economic Community of West African States, to speak about how to further the relationship between Israel and the bloc, the Prime Minister’s Office said in a statement.']",1.0,0.0,liberia
2017-06-10,ICE Officers Round Up 113 Criminal Aliens in New Jersey Sweep,Breitbart,"['The foreign nationals were from the following wide-array of countries: Bangladesh, Central African Republic, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Ghana, Guatemala, Guyana, Haiti, Honduras, India, Iraq, Ireland, Jamaica, Jordan, Korea, Latvia, Liberia, Mexico, Morocco, Nicaragua, Nigeria, Pakistan, Philippines, Peru, Poland, Slovakia, Trinidad and Uruguay.']",1.0,0.0,liberia
2017-06-13,Mike Pence: Obamacare 'Death Spiral' One of Most Pressing Issues for Americans Today - Breitbart,Breitbart,"['HHS Secretary Dr. Tom Price said before introducing Pence, that the work of HHS goes beyond the border of the United States and recalled a recent trip to Liberia.']",1.0,0.0,liberia
2016-01-06,I went on a Tinder date with 'pharma bro' Martin Shkreli — here's what it was like,Business Insider,"['[\'\', \'This fall, I went on a date with Martin Shkreli, the 32-year-old ""pharma bro"" recently arrested on charges of securities fraud, and widely known as the most despised man in America.', 'Martin and I matched on Tinder after he ""super-liked"" me. (', ""This was shortly after the news broke that Shkreli \\ 's company, Turing Pharmaceuticals, raised the price of a 62-year-old medication 4,000 percent overnight."", 'Still skeptical, I told him I knew his profile was a joke, and he assured me: ""It \\ \'s 100% Martin"" and offered to send a selfie.', ""Like nearly every other American, I was outraged when I heard that Martin's company had raised the price of Daraprim from $13.50 to $750 per pill."", 'When it came to planning the date, Martin was the most considerate Tinderfella I have encountered.', 'Martin was a lot smaller than I thought he would be, and seemed really nervous.', 'The waitress came over and made a few recommendations. Martin asked, ""Is there a vegetarian menu?', ""We ordered a drink and Martin told me that he was a lightweight, something I \\ 'd never heard a man admit on a date (or ever).', '"", 'The one drink must have loosened Martin up, because the conversation flowed freely and he was surprisingly open.', 'Martin talked about his family (his parents were janitors and refuse to move from the home he grew up in); the foundation he set up (his sister runs it); and the housing he procured for a homeless woman in Boston.', 'Throughout our date, I saw occasional glimpses of the cocky Martin I had expected, but those were the moments that seemed the most false to me, as if putting on a confident-dude front.', 'We finished our food, and Martin flagged down the waitress and ordered the $120 tea.', 'When Martin finished his tea, I asked how he liked it. ""', 'Martin offered to have his driver give me a ride home.', 'I think it was clear to Martin that he was not my Prince Charming, or my ""Prince Pharming""; nor was I his manic pixie dream girl.\', ""']",0.09375,0.8699631816921909,martin_shkreli
2016-01-07,TransCanada sues U.S. over Keystone XL pipeline rejection,Reuters,"['$1 = 1.4075 Canadian dollars) (Additional reporting by Roberta Rampton in Washington, David Ljunggren in Ottawa, Euan Rocha in Toronto, Anthony Lin in New York; Writing by Amran Abocar; Editing by David Gregorio, Toni Reinhold) A U.S. judge on Wednesday ordered Martin Shkreli to stop talking about his fraud case in or around the Brooklyn courthouse where he is standing trial, five days after the former drug company executive burst into a room full of spectators and attacked the credibility of a government witness.']",1.0,0.0,martin_shkreli
2016-01-08,Chipotle outbreak eyed by Justice Dept consumer unit,Reuters,"[' (Reporting by Sarah N. Lynch, additional reporting by Tom Polansek in Chicago, Editing by Soyoung Kim and Andrew Hay) A U.S. judge on Wednesday ordered Martin Shkreli to stop talking about his fraud case in or around the Brooklyn courthouse where he is standing trial, five days after the former drug company executive burst into a room full of spectators and attacked the credibility of a government witness.']",1.0,0.0,martin_shkreli
2016-01-21,Davos leaders look beyond 2016's early market mayhem  ,Reuters,"[' (Reporting by Paul Taylor, Martinne Geller, Elizabeth Piper; Sujata Rao, Carmel Crimmins, Dmitry Zhdannikov and Noah Barkin; Writing by Alexander Smith; Editing by Anna Willard) A U.S. judge on Wednesday ordered Martin Shkreli to stop talking about his fraud case in or around the Brooklyn courthouse where he is standing trial, five days after the former drug company executive burst into a room full of spectators and attacked the credibility of a government witness.']",1.0,0.0,martin_shkreli
